time,channel_name,ocean_region,ges_id,channel_unit_id,channel_type,su_type,burst_frequency_offset,burst_timing_offset
7/03/2014 23:14:01.196,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,217,null
7/03/2014 23:14:01.215,IOR-3737-21000,IOR,305,6,C-Channel TX,0x30 - Call Progress - Test,null,null
7/03/2014 23:14:01.378,IOR-3737-21000,IOR,305,6,C-Channel TX,0x30 - Call Progress - Test,null,null
7/03/2014 23:14:01.386,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,null
7/03/2014 23:14:01.554,IOR-3737-21000,IOR,305,6,C-Channel TX,0x30 - Call Progress - Test,null,null
7/03/2014 23:14:01.554,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,null
7/03/2014 23:14:01.697,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,null
7/03/2014 23:14:01.745,IOR-3737-21000,IOR,305,6,C-Channel TX,0x30 - Call Progress - Test,null,null
7/03/2014 23:14:01.878,IOR-3737-21000,IOR,305,6,C-Channel TX,0x30 - Call Progress - Test,null,null
7/03/2014 23:14:01.903,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,null
7/03/2014 23:14:02.25,IOR-3737-21000,IOR,305,6,C-Channel TX,0x30 - Call Progress - Test,null,null
7/03/2014 23:14:02.49,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,null
7/03/2014 23:14:02.196,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,null
7/03/2014 23:14:02.215,IOR-3737-21000,IOR,305,6,C-Channel TX,0x30 - Call Progress - Test,null,null
7/03/2014 23:14:02.378,IOR-3737-21000,IOR,305,6,C-Channel TX,0x30 - Call Progress - Test,null,null
7/03/2014 23:14:02.386,IOR-3737-21000,IOR,305,6,C-Channel RX,0x60 - Telephony Acknowledge,216,null
7/03/2014 23:14:02.527,IOR-3737-21000,IOR,305,6,C-Channel TX,0x30 - Call Progress - Test,null,null
